"player_id","season_name","general_position","team_id","minutes_played","goals_added_above_avg_Dribbling","goals_added_above_avg_Fouling","goals_added_above_avg_Interrupting","goals_added_above_avg_Passing","goals_added_above_avg_Receiving","goals_added_above_avg_Shooting","count_actions_Dribbling","count_actions_Fouling","count_actions_Interrupting","count_actions_Passing","count_actions_Receiving","count_actions_Shooting","offensive_goals_added"
"2lqRkPA0Qr","2020","ST","YgOMngl5wN",46,-0.0438,0.0143,-0.0106,0.0116,0.1395,-0.0346,3,4,2,13,12,1,0.087
"2lqRkPknQr","2014","CM","0KPqjA456v",11,0.0122,0,-0.0048,0.0172,-2.5736e-06,-0.0029,4,0,1,11,9,0,0.0264974264
"2lqRkPknQr","2014","ST","0KPqjA456v",511,0.0433,-0.0779,0.0955914785,-0.1232,-0.3972,-0.3374,124,22,38,211,211,3,-0.8924
"2lqRkPknQr","2014","W","0KPqjA456v",225,-0.317,-0.0234,-0.0789,-0.0797,0.0037,-0.0289,37,1,19,78,76,3,-0.4453
"2lqRkPknQr","2015","AM","0KPqjA456v",12,0.0068,-0.0133,0.0334,-0.0156,-0.0072,-0.0061,3,2,3,5,3,0,-0.0354
"2lqRkPknQr","2015","CM","0KPqjA456v",422,0.1334,-0.2150801982,0.0757,-0.3709,0.245,0.1696,66,8,30,138,126,10,-0.0379801981999999
"2lqRkPknQr","2015","W","0KPqjA456v",112,-0.0039,-0.0054,0.0879,-0.0518,0.0557,0.1563,21,3,14,46,37,5,0.1509
"2lqRkPknQr","2016","CM","0KPqjA456v",446,-0.0616,0.0114,0.0089,-0.2149,0.1375,0.0233,61,8,59,186,148,6,-0.1043
"2lqRkPknQr","2016","FB","0KPqjA456v",13,-0.0278,7e-04,-0.0082,-0.0173,0.0168,0.0072,2,0,0,8,5,1,-0.0204
"2lqRkPknQr","2016","ST","0KPqjA456v",10,0.0421,-0.0015,0.0114,0.0106,0.0192,-0.0075,3,0,2,13,8,0,0.0629
"2lqRkPknQr","2016","W","0KPqjA456v",427,-0.2742,-0.0422,0.0656,-0.3225,-0.0211,-0.0454,94,16,33,197,175,5,-0.7054
"2lqRkPknQr","2017","AM","0KPqjA456v",149,-0.249,-0.0127,0.0825,0.1294,-0.0035,0.0466,40,8,19,48,52,5,-0.0892
"2lqRkPknQr","2017","CM","0KPqjA456v",452,0.1232,0.0567,0.0693,-0.3783,-0.0129,0.0564,117,16,42,201,173,8,-0.1549
"2lqRkPknQr","2017","DM","0KPqjA456v",192,0.2159,0.0563,0.0569,0.1464,-0.0114,0.1848,49,8,26,86,68,8,0.592
"2lqRkPknQr","2017","FB","0KPqjA456v",132,-0.1979,0.0518,0.0134,-0.1385,0.2774,0.1181,31,5,15,66,51,7,0.1109
"2lqRkPknQr","2017","ST","0KPqjA456v",64,0.0395,-0.0116,0.028,0.0087,-0.0407,-0.0284,15,5,6,22,22,2,-0.0325
"2lqRkPknQr","2017","W","0KPqjA456v",753,0.9669,-0.0054,0.206,-0.3788,-0.3449,0.027,140,16,97,286,214,12,0.2648
