player_name,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added,goals_added_per_90
Wilder Cartagena,ORL,2023,DM,2120,-0.22,-0.12,-0.06,0.06,-0.31,-0.15,-0.8,-0.03396226415
Jeong Sang-Bin,MIN,2023,AM,1070,-0.8,0.17,-0.14,-0.24,0.72,-0.12,-0.41,-0.03448598131
Guzmán Corujo,CLT,2023,CB,389,-0.03,0.01,0,-0.07,-0.07,0.01,-0.15,-0.03470437018
Emeka Eneli,RSL,2023,FB,1476,0.18,0.17,0.01,-0.3,-0.39,-0.24,-0.57,-0.03475609756
Jack Maher,NSH,2023,CB,3185,-0.14,0.27,-0.56,-0.42,-0.34,-0.05,-1.23,-0.0347566719
Juan José Purata,ATL,2023,CB,2406,0.13,-0.04,-0.37,-0.47,-0.22,0.04,-0.93,-0.03478802993
Anderson Julio,RSL,2023,ST,1277,-0.4,-0.16,0.26,-0.72,0.42,0.09,-0.5,-0.03523884103
Jonathan Osorio,TOR,2023,CM,2065,-0.17,0.03,-0.2,-0.27,0.05,-0.25,-0.81,-0.03530266344
Joshua Atencio,SEA,2023,DM,1115,-0.2,0.01,-0.02,-0.5,0.32,-0.05,-0.44,-0.03551569507
Eric Miller,POR,2023,FB,1359,-0.16,0.04,-0.07,0.05,-0.23,-0.16,-0.54,-0.0357615894
James Sands,NYC,2023,DM,2415,0.1,-0.38,0.13,-0.2,-0.33,-0.28,-0.96,-0.03577639752
Daniel Gazdag,PHI,2023,AM,3064,-0.5,0.26,-0.38,-0.5,0.14,-0.23,-1.23,-0.03612924282
Gustavo Bou,NER,2023,ST,1366,0.46,-0.41,-0.18,-0.79,-0.08,0.44,-0.55,-0.03623718887
Bill Tuiloma,CLT,2023,CB,1515,-0.08,0.08,-0.36,0.1,-0.22,-0.11,-0.61,-0.03623762376
Daniel Pereira Gil,ATX,2023,CM,2798,0.73,0.06,-0.02,-0.95,-0.59,-0.39,-1.15,-0.03699070765
Alvas Powell,CIN,2023,FB,1115,0.02,0.07,-0.18,-0.25,-0.08,-0.04,-0.46,-0.03713004484
Judson,SJE,2023,CM,548,-0.05,-0.03,0.34,-0.13,-0.21,-0.14,-0.23,-0.03777372263
Nelson Quiñones,HOU,2023,W,1624,-0.12,0.24,0.03,-0.84,0.1,-0.11,-0.69,-0.03823891626
Raymon Gaddis,CIN,2023,FB,1432,-0.07,0.09,0.07,-0.33,-0.23,-0.13,-0.61,-0.03833798883
Taylor Washington,NSH,2023,FB,608,-0.26,-0.04,0.09,-0.13,0.09,-0.01,-0.26,-0.03848684211
Darlington Nagbe,CLB,2023,CM,3106,0.19,0.21,-0.42,-0.75,-0.25,-0.32,-1.33,-0.03853831294
Miguel Araujo,POR,2023,CB,186,0,0.01,0.02,-0.01,-0.06,-0.04,-0.08,-0.03870967742
Luis Caicedo,HOU,2023,DM,1401,-0.14,0.03,0.75,-0.4,-0.54,-0.32,-0.62,-0.03982869379
Brent Kallman,MIN,2023,CB,248,0.01,-0.01,0.08,0.03,-0.15,-0.07,-0.11,-0.03991935484
Micael,HOU,2023,CB,2206,-0.32,0.17,-0.5,0.14,-0.34,-0.13,-0.98,-0.03998186763
Ethan Bartlow,HOU,2023,CB,2257,0.32,0.27,-1.07,-0.51,-0.01,-0.01,-1.01,-0.04027470093
Franco Escobar,HOU,2023,FB,2489,-0.74,0.05,0.07,-1.17,0.43,0.24,-1.12,-0.04049819204
Nemanja Radoja,SKC,2023,DM,1898,0.02,-0.23,0.16,-0.3,-0.28,-0.23,-0.86,-0.04077976818
Andreas Maxsø,COL,2023,CB,3207,0.01,0.34,-1.54,-0.69,0.41,0.01,-1.46,-0.04097287184
Cristian Dájome,"VAN, DCU",2023,W,1244,-0.63,-0.02,-0.14,-0.06,0.23,0.05,-0.57,-0.04123794212
Dany Rosero Valencia,SKC,2023,CB,2512,-0.66,0.21,-0.39,-0.74,0.25,0.17,-1.16,-0.04156050955
Mohamed Farsi,CLB,2023,FB,2447,0.48,-0.16,-0.42,-1.38,0.36,-0.06,-1.18,-0.04340008173
Justin Meram,"RSL, CLT",2023,W,1698,-0.22,-0.19,0.01,0.39,-0.64,-0.18,-0.83,-0.04399293286
Andrew Privett,CLT,2023,CB,1178,-0.06,0.1,-0.52,0.07,-0.12,-0.04,-0.58,-0.04431239389
Jake Davis,SKC,2023,FB,2244,-0.06,0.13,-0.74,-0.14,-0.08,-0.22,-1.11,-0.04451871658
Jan Sobociński,CLT,2023,CB,745,-0.04,0.07,-0.34,0.07,-0.09,-0.04,-0.37,-0.04469798658
Joshua Yaro,STL,2023,CB,1042,-0.01,0.08,-0.04,-0.02,-0.36,-0.17,-0.52,-0.04491362764
Omar González,NER,2023,CB,960,-0.04,0.07,-0.16,-0.07,-0.14,-0.14,-0.48,-0.045
Noah Allen,MIA,2023,FB,1415,-0.19,0.07,-0.07,-0.52,-0.04,0.04,-0.71,-0.0451590106
Rasmus Alm,STL,2023,W,1213,-0.03,-0.06,-0.01,-0.11,-0.17,-0.23,-0.61,-0.04525968673
Jojea Kwizera,MTL,2023,FB,159,-0.02,-0.01,-0.03,-0.01,-0.02,0,-0.08,-0.04528301887
Tomas Ostrak,STL,2023,W,1306,0.03,-0.17,-0.01,-0.21,-0.42,0.11,-0.66,-0.04548238897
Arnaud Souquet,CHI,2023,FB,2026,-0.01,-0.23,-0.31,-0.2,-0.21,-0.07,-1.03,-0.04575518263
Nick Lima,ATX,2023,FB,2731,-0.43,0.14,-0.96,0.41,-0.51,-0.05,-1.39,-0.04580739656
Sebastian Lletget,FCD,2023,CM,1276,-0.08,0,-0.2,-0.26,-0.05,-0.07,-0.66,-0.04655172414
Danny Musovski,RSL,2023,ST,1331,-0.14,-0.24,-0.25,-0.54,0.65,-0.18,-0.69,-0.04665664914
Brandon Servania,TOR,2023,CM,1845,-0.38,0.01,0.03,-0.06,-0.45,-0.12,-0.96,-0.04682926829
Kevon Lambert,RSL,2023,CB,38,0,0,-0.02,0.01,-0.01,0,-0.02,-0.04736842105
Richard Ledezma,NYC,2023,ST,1325,-0.51,-0.17,-0.19,0.46,-0.18,-0.12,-0.7,-0.04754716981
